,entities,relations,sentences
257,"[[(u'Semantic Technology', u'Method'), (u'RDF', u'Method'), (u'Clinical Data Standards', u'Task')], [(u'it', u'Generic')], [(u'browser', u'OtherScientificTerm'), (u'search functionality', u'OtherScientificTerm'), (u'web services', u'Method'), (u'study workflow automation', u'Task')], [(u'system', u'Generic')], [], [], [(u'RDF curator', u'Method')]]","[[(u'Semantic Technology', u'CONJUNCTION', u'RDF'), (u'Semantic Technology', u'CONJUNCTION', u'Clinical Data Standards'), (u'Clinical Trials', u'CONJUNCTION', u'Clinical Data Standards')], [], [(u'browser', u'CONJUNCTION', u'search functionality'), (u'browser', u'CONJUNCTION', u'web services'), (u'search functionality', u'CONJUNCTION', u'web services')], [], [], [], []]","[u'Semantic Technology and RDF have become additional tools for use in Clinical Trials and Clinical Data Standards in particular .', u'At Roche we have one of the first production status RDF based Clinical Data Standards Metadata Registries and have been operating it for 2 years now .', u'We have real end users , a browser , search functionality , web services , and big plans for study workflow automation .', u'But what does it really mean to set up and run a system like this ?', u'What resources and skills do you need ?', u'What problems do you encounter day by day ?', u'This talk is about real life as an RDF curator']"
258,"[[(u'Photo collections', u'Material')], [(u'semantic annotations', u'Method')], [(u'complexity', u'Metric'), (u'semantic technology', u'Method'), (u'annotation template', u'OtherScientificTerm')], [(u'ontology', u'OtherScientificTerm'), (u'personal information', u'OtherScientificTerm')], [(u'semantics', u'OtherScientificTerm')], [(u'notion of landmarks', u'OtherScientificTerm'), (u'navigation', u'Task'), (u'lifetime photo-space', u'OtherScientificTerm')]]","[[], [], [(u'semantic technology', u'USED-FOR', u'complexity'), (u'annotation template', u'USED-FOR', u'complexity'), (u'annotation template', u'USED-FOR', u'semantic technology')], [], [], []]","[u'Photo collections are one of the promising sources to tell story of life in this digital era .', u'In this paper we present our work on organizing photos of a lifetime by exploiting semantic annotations .', u'The complexity in using semantic technology is managed by introducing an annotation template corresponding to who , when , where , and what .', u'Semantics of each dimension are semi-automatically annotated following the ontology for personal information .', u'The story telling is done by exploiting these semantics to form trails of the photos .', u'The notion of landmarks is used for this purpose which also ensures effective navigation in the lifetime photo-space .']"
259,"[[(u'computer-based media', u'Material'), (u'understanding of phenomena', u'Task')], [(u'DynaLearn', u'Method'), (u'Intelligent Learning Environment', u'Method'), (u'conceptual knowledge', u'OtherScientificTerm'), (u'qualitative models', u'Method'), (u'systems', u'Generic')], [(u'DynaLearn', u'Method'), (u'diagrammatic representations', u'Method')], [(u'environment', u'Generic'), (u'semantic technology components', u'Method'), (u'knowledge-based feedback', u'OtherScientificTerm'), (u'virtual characters', u'OtherScientificTerm')], [], [(u'DynaLearn system', u'Method')]]","[[], [(u'DynaLearn', u'HYPONYM-OF', u'Intelligent Learning Environment'), (u'DynaLearn', u'USED-FOR', u'conceptual knowledge'), (u'Intelligent Learning Environment', u'USED-FOR', u'conceptual knowledge')], [(u'diagrammatic representations', u'USED-FOR', u'DynaLearn')], [(u'knowledge-based feedback', u'CONJUNCTION', u'virtual characters')], [], []]","[u'Articulating thought in computer-based media is a powerful means for humans to develop their understanding of phenomena .', u'We have created DynaLearn , an Intelligent Learning Environment that allows learners to acquire conceptual knowledge by constructing and simulating qualitative models of how systems behave .', u'DynaLearn uses diagrammatic representations for learners to express their ideas .', u'The environment is equipped with semantic technology components capable of generating knowledge-based feedback , and virtual characters enhancing the interaction with learners .', u'Teachers have created course material , and successful evaluation studies have been performed .', u'This article presents an overview of the DynaLearn system .']"
260,"[[], [], [(u'process execution', u'Task'), (u'knowledge management', u'Task'), (u'automated systems', u'Method'), (u'software engineering', u'Task'), (u'concrete utilization', u'OtherScientificTerm')], [(u'approach', u'Generic'), (u'automated workflow governance support', u'Task'), (u'knowledge management', u'Method'), (u'semantic technology', u'Method')], [(u'contextually relevant SE knowledge', u'OtherScientificTerm'), (u'software development workflow execution', u'Task')]]","[[], [], [(u'process execution', u'CONJUNCTION', u'knowledge management')], [(u'approach', u'USED-FOR', u'automated workflow governance support'), (u'automated workflow governance support', u'CONJUNCTION', u'semantic technology'), (u'knowledge management', u'CONJUNCTION', u'semantic technology')], []]","[u'Software development projects have historically been challenged with respect to producing a quality product .', u'To some extent , this can be attributed to the complex , dynamic , and highly intellectual process of creating software .', u'While efforts have been made to support both process execution and knowledge management with automated systems in software engineering ( SE ) , the effective dissemination of knowledge and its concrete utilization in the development process remain problematic .', u'This paper contributes an approach that associates automated workflow governance support with knowledge management and semantic technology .', u'This enables the dynamic injection of contextually relevant SE knowledge into software development workflow execution .']"
261,"[[(u'WikiProteins', u'Method'), (u'community annotation', u'Task'), (u'Wiki-based system', u'Task')], [], [(u'community edits', u'Material')], [(u'Semantic technology', u'Method'), (u'factual statements', u'OtherScientificTerm')], [(u'indirect associations', u'OtherScientificTerm')], [], [(u'system', u'Generic'), (u'beta testing', u'Task')]]","[[(u'WikiProteins', u'USED-FOR', u'community annotation')], [], [], [(u'Semantic technology', u'USED-FOR', u'factual statements')], [], [], [(u'system', u'USED-FOR', u'beta testing')]]","[u'WikiProteins enables community annotation in a Wiki-based system .', u'Extracts of major data sources have been fused into an editable environment that links out to the original sources .', u'Data from community edits create automatic copies of the original data .', u'Semantic technology captures concepts co-occurring in one sentence and thus potential factual statements .', u'In addition , indirect associations between concepts have been calculated .', u""We call on a 'million minds ' to annotate a 'million concepts ' and to collect facts from the literature with the reward of collaborative knowledge discovery ."", u'The system is available for beta testing at http : //www.wikiprofessional.org .']"
262,"[[(u'learning activities', u'Task'), (u'thematic Web resources', u'Material'), (u'linked-data repository', u'Material')], [], [(u'Learning Activity Management System', u'Method')], [(u'thematic resource repository', u'Material'), (u'linked-data extension', u'Method'), (u'WordPress blog engine', u'Method')], [(u'extension', u'Generic'), (u'text-based and video information', u'OtherScientificTerm'), (u'blog entries', u'Material'), (u'RDF triples', u'OtherScientificTerm')], [(u'approach', u'Generic'), (u'external linked data sets', u'Material'), (u'blog contents', u'OtherScientificTerm'), (u'linked-data', u'OtherScientificTerm'), (u'conceptual model', u'Method')]]","[[(u'linked-data repository', u'USED-FOR', u'thematic Web resources')], [], [], [(u'linked-data extension', u'USED-FOR', u'thematic resource repository')], [(u'text-based and video information', u'USED-FOR', u'extension'), (u'blog entries', u'FEATURE-OF', u'text-based and video information'), (u'RDF triples', u'FEATURE-OF', u'blog entries')], [(u'external linked data sets', u'USED-FOR', u'learning resources'), (u'linked-data', u'CONJUNCTION', u'linked-data')]]","[u'In this paper , we describe how to design learning activities that dynamically provide thematic Web resources from a linked-data repository .', u'The aim is to enable teachers to share a variable set of resources related to a given subject and postpone the actual resource delivery to the deployment or enactment of the course .', u'We have proposed a Learning Activity Management System ( LAMS ) tool that provides an interface to automatically select the related resources to be delivered to the students who are running a learning activity .', u'The thematic resource repository was a linked-data extension of the WordPress blog engine .', u'This extension allows enriching text-based and video information contained in blog entries with RDF triples that can be externally managed and exploited .', u'Our approach allows discovering learning resources from external linked data sets and enrich blog contents with linked-data , independently of the underlying conceptual model .']"
263,"[[(u'Linked Data', u'Material')], [(u'Web', u'Material'), (u'heterogeneous , complex and distributed datasets', u'Material')], [(u'query mechanism', u'Method'), (u'Linked Data', u'Material'), (u'representation of data', u'Task')], [(u'vocabulary independent natural language query mechanism', u'Method'), (u'Linked Data', u'Material'), (u'approach', u'Generic'), (u'entity search', u'Method'), (u'Wikipedia-based semantic relatedness measure', u'Metric'), (u'spreading activation', u'Method')], [(u'Wikipedia-based semantic relatedness measures', u'Metric'), (u'similarity measures/term expansion', u'OtherScientificTerm'), (u'WordNet', u'Material')], [(u'query mechanism', u'Method'), (u'natural language queries', u'Material'), (u'DBpedia', u'Material'), (u'mean reciprocal rank', u'Metric'), (u'average precision', u'Metric'), (u'average recall', u'Metric')]]","[[], [], [(u'query mechanism', u'USED-FOR', u'Linked Data')], [(u'vocabulary independent natural language query mechanism', u'USED-FOR', u'Linked Data'), (u'Wikipedia-based semantic relatedness measure', u'USED-FOR', u'approach'), (u'Wikipedia-based semantic relatedness measure', u'CONJUNCTION', u'spreading activation')], [(u'WordNet', u'USED-FOR', u'similarity measures/term expansion')], [(u'query mechanism', u'USED-FOR', u'natural language queries'), (u'average precision', u'EVALUATE-FOR', u'query mechanism'), (u'average recall', u'EVALUATE-FOR', u'query mechanism')]]","[u'Linked Data brings inherent challenges in the way users and applications consume the available data .', u'Users consuming Linked Data on the Web , should be able to search and query data spread over potentially large numbers of heterogeneous , complex and distributed datasets .', u'Ideally , a query mechanism for Linked Data should abstract users from the representation of data .', u'This work focuses on the investigation of a vocabulary independent natural language query mechanism for Linked Data , using an approach based on the combination of entity search , a Wikipedia-based semantic relatedness measure and spreading activation .', u'Wikipedia-based semantic relatedness measures address existing limitations of existing works which are based on similarity measures/term expansion based on WordNet .', u'Experimental results using the query mechanism to answer 50 natural language queries over DBpedia achieved a mean reciprocal rank of 61.4 % , an average precision of 48.7 % and average recall of 57.2 % .']"
264,"[[(u'Link traversal', u'Task'), (u'Linked Data', u'Material'), (u'it', u'Generic')], [(u'Knowledge Discovery process', u'Method'), (u'Linked Data', u'Material'), (u'patterns of data', u'OtherScientificTerm'), (u'data mining process', u'Method'), (u'clustering', u'Method')], [(u'strategy', u'Generic'), (u'Linked Data traversal', u'Method')], [(u'approach', u'Generic')]]","[[], [(u'Linked Data', u'USED-FOR', u'patterns of data'), (u'data mining process', u'USED-FOR', u'patterns of data'), (u'clustering', u'HYPONYM-OF', u'data mining process')], [], []]","[u'Link traversal is one of the biggest advantages of Linked Data , as it allows the serendipitous discovery of new knowledge thanks to the natural connections between data of different sources .', u'Our general problem is to understand how such a property can benefit the Knowledge Discovery process : in particular , we aim at using Linked Data to explain the patterns of data that have been extracted from a typical data mining process such as clustering .', u""The strategy we propose here is Linked Data traversal , in which we explore and build on-the-fly an unknown Linked Data graph by simply deferencing entities ' URIs until we find , by following the links between entities , a valid explanation to our clusters ."", u'The experiments section gives an insight into the performance of such an approach , in terms of time and scalability , and show how the links easily gather knowledge from different data sources .']"
265,"[[(u'Linked Data cloud', u'OtherScientificTerm')], [(u'linked data', u'Material')], [(u'online service', u'Material'), (u'specifications', u'Generic'), (u'models', u'Generic'), (u'RDF', u'Method'), (u'SPARQL', u'Method')], [(u'approach', u'Generic'), (u'semantic models of services', u'Method'), (u'interactive web-based interface', u'Task')], [(u'service request URLs', u'OtherScientificTerm')], [(u'system', u'Generic'), (u'service model', u'Method')], [(u'system', u'Generic'), (u'service specification', u'OtherScientificTerm'), (u'expressive vocabulary', u'OtherScientificTerm'), (u'lifting rules', u'OtherScientificTerm')], [(u'approach', u'Generic'), (u'them', u'Generic'), (u'linked data', u'Material')]]","[[], [], [(u'RDF', u'CONJUNCTION', u'SPARQL')], [(u'approach', u'USED-FOR', u'semantic models of services')], [], [(u'system', u'USED-FOR', u'service model')], [(u'system', u'USED-FOR', u'service specification'), (u'expressive vocabulary', u'USED-FOR', u'system'), (u'expressive vocabulary', u'USED-FOR', u'service specification')], [(u'them', u'USED-FOR', u'linked data')]]","[u'The amount of data available in the Linked Data cloud continues to grow .', u'Yet , few services consume and produce linked data .', u'There is recent work that allows a user to define a linked service from an online service , which includes the specifications for consuming and producing linked data , but building such models is time consuming and requires specialized knowledge of RDF and SPARQL .', u'This paper presents a new approach that allows domain experts to rapidly create semantic models of services by demonstration in an interactive web-based interface .', u'First , the user provides examples of the service request URLs .', u'Then , the system automatically proposes a service model the user can refine interactively .', u'Finally , the system saves a service specification using a new expressive vocabulary that includes lowering and lifting rules .', u'This approach empowers end users to rapidly model existing services and immediately use them to consume and produce linked data .']"
266,"[[(u'Linked Data', u'Material'), (u'data level', u'OtherScientificTerm')], [(u'Linked Data', u'Material'), (u'semantic query processing', u'Task')], [(u'warehousing based query processing', u'Task'), (u'distributed datasets of Linked Data', u'Material')], [(u'Frequent crawling', u'Method'), (u'dynamic data', u'Material'), (u'real time applications', u'Task')], [(u'Crawling large datasets', u'Task')], [(u'Ontology Property-based Adaptive Crawler', u'Method')], [(u'Linked data', u'Material')], [(u'system', u'Generic'), (u'overhead costs', u'Metric')]]","[[(u'Linked Data', u'USED-FOR', u'data level')], [(u'Linked Data', u'USED-FOR', u'semantic query processing')], [(u'method', u'USED-FOR', u'warehousing based query processing'), (u'crawling of all data', u'USED-FOR', u'warehousing based query processing')], [(u'Frequent crawling', u'USED-FOR', u'dynamic data')], [], [], [], []]","[u'Linked Data is expected to play an important role for interoperability at the data level for the future internet .', u'One of the main applications of Linked Data might be semantic query processing .', u'The current method of warehousing based query processing requires the crawling of all data periodically and also frequent crawling of data from distributed datasets of Linked Data to make the data as up-to-date as possible .', u'Frequent crawling is required for dynamic data to meet the high freshness requirement of real time applications .', u'Crawling large datasets may cause serious scalability problems .', u'In this paper , we propose an Ontology Property-based Adaptive Crawler to alleviate this problem .', u'Linked data are crawled adaptively based on the Change Frequency of the Documents and the Properties .', u'Performance evaluation shows that this system can reduce overhead costs by more than 70 % while maintaining a high freshness of data .']"
267,"[[(u'Linked Data', u'Material'), (u'it', u'Generic')], [(u'Linked Data', u'Material')], [(u'Linked Data', u'Material')], [], [(u'Alignment', u'Task'), (u'usable Linked Data', u'Material')], [(u'URIs', u'Method'), (u'RDF basic biographical data', u'Material'), (u'disambiguation', u'Task'), (u'alignment information', u'OtherScientificTerm'), (u'musicological data', u'Material')]]","[[], [], [], [], [], [(u'URIs', u'USED-FOR', u'disambiguation')]]","[u'As more resources are published as Linked Data , data from multiple heterogeneous sources should be more rapidly discoverable and automatically integrable , enabling it to be reused in contexts beyond those originally envisaged .', u'But Linked Data is not of itself a complete solution .', u'One of the key challenges of Linked Data is that its strength is also a weakness : anyone can publish anything .', u'So in music , for instance , 17 sources may independently publish data about Schubert , but there is no de facto way to know that any of these Schuberts are the same , because the sources are not aligned .', u'Alignment is a prerequisite for usable Linked Data , without which resources are effectively be stranded rather than integrated .', u'To begin to address this , the MusicNet project has minted URIs for composers and exposed as RDF basic biographical data to aid disambiguation , and , crucially , alignment information for several leading providers of musicological data .']"
268,"[[(u'adaptive hypermedia systems', u'Method'), (u'adaptation functionality', u'OtherScientificTerm'), (u'closed corpus', u'Material'), (u'Web search interfaces', u'Task'), (u'de- livered non-personalized information', u'OtherScientificTerm')], [(u'closed corpus adaptation', u'Task'), (u'global context provision', u'Task'), (u'Personal Reader environment', u'Method')], [(u'local context', u'OtherScientificTerm'), (u'global context', u'OtherScientificTerm'), (u'Web', u'Material'), (u'FAQs', u'OtherScientificTerm'), (u'student exercises', u'OtherScientificTerm')], [(u'adaptive local context', u'OtherScientificTerm'), (u'learning resource', u'OtherScientificTerm'), (u'methods', u'Generic'), (u'adaptive educational hypermedia', u'Method'), (u'semantic web setting', u'Method')], [(u'adaptive global context', u'OtherScientificTerm'), (u'them', u'Generic'), (u'user profile information', u'OtherScientificTerm'), (u'querying process', u'Method')]]","[[(u'adaptive hypermedia systems', u'USED-FOR', u'adaptation functionality'), (u'closed corpus', u'USED-FOR', u'adaptive hypermedia systems'), (u'de- livered non-personalized information', u'FEATURE-OF', u'Web search interfaces')], [(u'closed corpus adaptation', u'CONJUNCTION', u'global context provision')], [(u'FAQs', u'CONJUNCTION', u'student exercises'), (u'student exercises', u'CONJUNCTION', u'simulations')], [(u'adaptive educational hypermedia', u'USED-FOR', u'adaptive local context'), (u'adaptive educational hypermedia', u'USED-FOR', u'learning resource')], [(u'user profile information', u'USED-FOR', u'adaptive global context')]]","[u'Traditional adaptive hypermedia systems have focused on providing adaptation functionality on a closed corpus , while Web search interfaces have de- livered non-personalized information to users .', u'In this paper , we show how we integrate closed corpus adaptation and global context provision in a Personal Reader environment .', u'The local context consists of individually optimized recom- mendations to learning materials within the given corpus ; the global context pro- vides individually optimized recommendations to resources found on the Web , e. g. , FAQs , student exercises , simulations , etc .', u'The adaptive local context of a learning resource is generated by applying methods from adaptive educational hypermedia in a semantic web setting .', u'The adaptive global context is generated by constructing appropriate queries , enrich them based on available user profile information , and , if necessary , relax them during the querying process according to available metadata .']"
269,"[[(u'Web services', u'Task')], [(u'user centric paradigm', u'Method')], [(u'approach', u'Generic'), (u'user centric WS-mediator', u'Method'), (u'dynamic service composition', u'Method')], [(u'It', u'Generic'), (u'composition engine', u'Method'), (u'WS knowledge base', u'Material')], [(u'context adaptation', u'Method'), (u'WS-mediator', u'Method'), (u'semantic web', u'Method')]]","[[], [], [(u'approach', u'USED-FOR', u'user centric WS-mediator')], [], [(u'WS-mediator', u'USED-FOR', u'context adaptation'), (u'WS-mediator', u'USED-FOR', u'semantic web')]]","[u'Nowadays , the effective and adaptive dynamic Web service composition is a major challenge towards the success of Web services .', u'From the viewpoint of user centric paradigm , existing work has limitation on their agility to create a composed service on the fly according to the desire/need of an end-user at a given time/place .', u'This article presents our approach which consists in providing a comprehensive framework for a user centric WS-mediator which is capable of dynamic service composition .', u""It is based on a composition engine which follows user 's specific needs and which yields a composed service through a WS knowledge base ."", u'Users can mash up the services at run time with their own logic and have a fully dynamic composition with context adaptation through WS-mediator which is also capable of supporting the semantic web .']"
270,"[[(u'game world logic', u'OtherScientificTerm'), (u'computer games', u'Task')], [(u'It', u'Generic'), (u'interactive entities', u'OtherScientificTerm')], [(u'Game engine practitioners', u'Method'), (u'scripting technology', u'Method'), (u'soft computing capabilities', u'OtherScientificTerm'), (u'engine modules', u'Method')], [(u'unified approach', u'Generic'), (u'neural parallel language', u'OtherScientificTerm'), (u'scripting engine', u'Method')], [(u'NPL', u'OtherScientificTerm'), (u'3D game engine', u'Method')], [(u'programming language methodology', u'Method'), (u'released game demo', u'Material')], [(u'Web', u'Material'), (u'neural network based programming paradigm', u'Method'), (u'distributed software applications', u'Task')]]","[[(u'networked virtual game worlds', u'CONJUNCTION', u'game world logic')], [], [(u'Game engine practitioners', u'USED-FOR', u'soft computing capabilities'), (u'scripting technology', u'USED-FOR', u'Game engine practitioners'), (u'scripting technology', u'USED-FOR', u'soft computing capabilities'), (u'scripting technology', u'USED-FOR', u'engine modules')], [(u'neural parallel language', u'USED-FOR', u'unified approach')], [(u'NPL', u'COMPARE', u'3D game engine')], [(u'released game demo', u'USED-FOR', u'programming language methodology')], [(u'neural network based programming paradigm', u'USED-FOR', u'distributed software applications')]]","[u'Bringing networked virtual game worlds and game world logic to the open Internet spawns new types of computer games .', u'It usually deals with thousands of interactive entities among its Web servers .', u'Game engine practitioners have used scripting technology to add soft computing capabilities to a variety of their engine modules .', u""This article proposes a unified approach of using neural parallel language ( NPL ) in a computer game 's scripting engine ."", u'We have implemented a reduced version of NPL and our own 3D game engine in a pair .', u'We show the effectiveness of such a programming language methodology by means of our released game demo .', u'As the Web is becoming more and more computable ( the semantic Web ) and intelligent ( agent technology ) , neural network based programming paradigm as described in this article is likely to become the solution to general purpose distributed software applications .']"
271,"[[(u'digital objects', u'OtherScientificTerm'), (u'Web', u'Material')], [(u'cultural relevant relationships', u'OtherScientificTerm'), (u'archives', u'Material'), (u'Web', u'Material')], [(u'relationships', u'Generic'), (u'LOD applications', u'Task')], [(u'methodology', u'Generic'), (u'onomasiologic perspective', u'OtherScientificTerm')], [(u'methodology', u'Generic'), (u'hypothetical competency question', u'Task'), (u'digital curator', u'OtherScientificTerm')], [(u'conceptual models', u'Method'), (u'FRBR', u'Method'), (u'CIDOC CRM', u'Method'), (u'EDM', u'Method'), (u'semantic relationships', u'OtherScientificTerm'), (u'LOD applications', u'Task')]]","[[], [], [], [(u'onomasiologic perspective', u'USED-FOR', u'methodology')], [(u'methodology', u'USED-FOR', u'hypothetical competency question')], [(u'FRBR', u'HYPONYM-OF', u'conceptual models'), (u'FRBR', u'CONJUNCTION', u'CIDOC CRM'), (u'FRBR', u'CONJUNCTION', u'EDM'), (u'CIDOC CRM', u'HYPONYM-OF', u'conceptual models'), (u'CIDOC CRM', u'CONJUNCTION', u'EDM'), (u'EDM', u'HYPONYM-OF', u'conceptual models')]]","[u'The emergence of Semantic Web and LOD - Linked Open Data - technologies enable that digital objects representing the holdings of archives , libraries and museums collections be semantically interlinked throughout the Web .', u'What are the different types of cultural relevant relationships that may exists between digital objects of collections in archives , libraries and museums throughout the Web ?', u'How discover , organize and formalize these relationships to be used by curators in LOD applications ?', u'A methodology to analyze the holdings of archives , libraries and museums is proposed based on onomasiologic perspective .', u'Such methodology is applied to a hypothetical competency question that might be proposed by a digital curator .', u'Results indicated that conceptual models such as FRBR , CIDOC CRM and EDM may provide a rich repertoire of semantic relationships that may be used in LOD applications to interlink collections in heritage institutions .']"
272,"[[(u'Ontology', u'Task'), (u'Semantic Web realization', u'Task')], [(u'Ontology development', u'Task')], [(u'approach', u'Generic'), (u'ontology development', u'Task')], [(u'ontology structures', u'OtherScientificTerm'), (u'automatic ontology development', u'Task')], [(u'ontology structure', u'OtherScientificTerm')], [(u'DuriO', u'Method'), (u'manual approach', u'Method')], [(u'automatic approach', u'Method'), (u'Text2Onto', u'Method')], [], [(u'ontology structure', u'OtherScientificTerm'), (u'manual approach', u'Method'), (u'domain knowledge', u'OtherScientificTerm')], [(u'ontology structure', u'OtherScientificTerm'), (u'automatic ontology development', u'Method'), (u'excessive unrelated terms', u'OtherScientificTerm')]]","[[(u'Ontology', u'USED-FOR', u'Semantic Web realization')], [], [], [], [], [(u'manual approach', u'USED-FOR', u'DuriO')], [], [], [(u'manual approach', u'USED-FOR', u'ontology structure')], [(u'automatic ontology development', u'USED-FOR', u'ontology structure'), (u'excessive unrelated terms', u'FEATURE-OF', u'automatic ontology development')]]","[u'Ontology has essential role in Semantic Web realization .', u'Ontology development can be categorized as manual , semi-automatic and automatic .', u'In this paper , we are going to investigate which category is the best approach in the ontology development .', u'Therefore we compared between the ontology structures produce by manual ontology development with automatic ontology development .', u'The comparison is done based on the concept and instance of the ontology structure .', u'During the experiment , we use DuriO which constructed previously by using manual approach .', u'Meanwhile for automatic approach , we use Text2Onto .', u'Then from both approaches , the structures were extracted and bar charts are presented to show the difference .', u'As the result , the ontology structure produced by using manual approach is aligned as expected with domain knowledge .', u'Whereas , the ontology structure produced by using automatic ontology development contain excessive unrelated terms .']"
273,"[[(u'3D content', u'Material'), (u'software tools', u'Method'), (u'hardware devices', u'Method'), (u'it', u'Generic')], [(u'Semantic Web approach', u'Method')], [(u'semantic concepts', u'OtherScientificTerm'), (u'interactive 3D con- tent', u'Task')], [(u'approach', u'Generic'), (u'conceptual semantic representation of 3D content', u'Task')], [(u'solution', u'Generic'), (u'modelling of 3D content', u'Task'), (u'semantic abstraction', u'Task'), (u'domain-specific on- tologies', u'OtherScientificTerm')], [(u'semantics', u'OtherScientificTerm'), (u'3D content representation', u'Task'), (u'approach', u'Generic')]]","[[(u'software tools', u'CONJUNCTION', u'hardware devices')], [], [(u'semantic concepts', u'USED-FOR', u'interactive 3D con- tent')], [(u'approach', u'USED-FOR', u'conceptual semantic representation of 3D content')], [(u'solution', u'USED-FOR', u'modelling of 3D content'), (u'domain-specific on- tologies', u'USED-FOR', u'semantic abstraction')], [(u'semantics', u'CONJUNCTION', u'3D content representation')]]","[u'The complexity of 3D content makes its creation accessible to profes- sional IT developers equipped with specific software tools and hardware devices , but it is generally inaccessible to non-expert users .', u'The Semantic Web approach enables description of web resources with commonly used concepts .', u'However , the use of semantic concepts may also facilitate creation of interactive 3D con- tent .', u'In this paper , a new approach to conceptual semantic representation of 3D content is proposed .', u'The presented solution permits modelling of 3D content at an arbitrarily high level of semantic abstraction with the use of domain-specific on- tologies .', u'Thanks to the compliance with well-established solutions for semantics and 3D content representation , the proposed approach can facilitate widespread creation , dissemination and reuse of 3D content by non IT-professionals in a va- riety of application domains .']"
274,"[[(u'plain-text resources', u'Material'), (u'ones', u'Generic'), (u""`` semi-semantic '' web sites"", u'Material'), (u'asWikipedia', u'Material'), (u'high-level semantic information', u'OtherScientificTerm')], [(u""`` collaborative annotating '' approach"", u'Method'), (u'Wikipedia article', u'Material'), (u'category annotations', u'OtherScientificTerm'), (u'annotations', u'Generic')], [(u'approach', u'Generic'), (u'semantic features', u'OtherScientificTerm'), (u'Wikipedia', u'Material'), (u'incoming link', u'OtherScientificTerm'), (u'outgoing link', u'OtherScientificTerm'), (u'section heading', u'OtherScientificTerm'), (u'template item', u'OtherScientificTerm'), (u'similarity calculation', u'OtherScientificTerm')], [(u'semantic features', u'OtherScientificTerm'), (u'category annotating', u'Task'), (u'plain text feature', u'OtherScientificTerm'), (u'approach', u'Generic'), (u'missing annotations', u'OtherScientificTerm'), (u'Wikipedia articles', u'Material')]]","[[], [(u""`` collaborative annotating '' approach"", u'USED-FOR', u'Wikipedia article')], [(u'incoming link', u'HYPONYM-OF', u'semantic features'), (u'incoming link', u'HYPONYM-OF', u'Wikipedia'), (u'incoming link', u'CONJUNCTION', u'outgoing link'), (u'incoming link', u'CONJUNCTION', u'section heading'), (u'outgoing link', u'HYPONYM-OF', u'semantic features'), (u'outgoing link', u'HYPONYM-OF', u'Wikipedia'), (u'outgoing link', u'CONJUNCTION', u'section heading'), (u'section heading', u'HYPONYM-OF', u'semantic features'), (u'section heading', u'CONJUNCTION', u'template item'), (u'template item', u'HYPONYM-OF', u'semantic features')], [(u'semantic features', u'USED-FOR', u'missing annotations'), (u'approach', u'USED-FOR', u'missing annotations')]]","[u""Compared with plain-text resources , the ones in `` semi-semantic '' web sites , such asWikipedia , contain high-level semantic information which will benefit various automatically annotating tasks on themself ."", u""In this paper , we propose a `` collaborative annotating '' approach to automatically recommend categories for a Wikipedia article by reusing category annotations from its most similar articles and ranking these annotations by their confidence ."", u'In this approach , four typical semantic features in Wikipedia , namely incoming link , outgoing link , section heading and template item , are investigated and exploited as the representation of articles to feed the similarity calculation .', u'The experiment results have not only proven that these semantic features improve the performance of category annotating , with comparison to the plain text feature ; but also demonstrated the strength of our approach in discovering missing annotations and proper level ones for Wikipedia articles .']"
275,"[[(u'interlinking datasets', u'Material'), (u'Linked Open Data cloud', u'OtherScientificTerm'), (u'Semantic Web', u'Material')], [(u'interlinking', u'OtherScientificTerm')], [(u'approach', u'Generic'), (u'system', u'Generic'), (u'Uniform Resource Identifier', u'Method'), (u'it', u'Generic')], [(u'system', u'Generic'), (u'Linked Open Data cloud', u'Material')], [(u'variable weights', u'OtherScientificTerm'), (u'dataset', u'Generic')]]","[[], [], [], [], []]","[u'The problem of interlinking datasets in , and with the Linked Open Data cloud has been one of major challenges and an important research subject in the Semantic Web .', u'The interlinking is frequently addressed on existing data .', u'The proposed approach , however , suggests a system to verify in first place the existence of the Uniform Resource Identifier of the resource being published in the cloud in order to establish links with it .', u'The overall aim of the research is designing a system to facilitate the follow of the best practices and recommendation in publishing data into the Linked Open Data cloud .', u'The main contribution of the presented paper is the use of the domain to allocate variable weights in measuring the similarity of the instances , according to the significance of their properties in defining the identity of the dataset .']"
276,"[[(u'unstructured nature', u'OtherScientificTerm')], [(u'semantic web', u'Method')], [(u'OWL files', u'OtherScientificTerm'), (u'ontologies', u'OtherScientificTerm'), (u'software agents', u'Task')], [(u'inference', u'Task')], [(u'Conference Ontology', u'Method')], [(u'architectural point of view', u'OtherScientificTerm'), (u'three-layer architecture', u'Method')], [(u'web applications', u'Task')]]","[[], [], [], [], [], [], []]","[u'Traditional websites no longer meet the needs of todays software agents because of their unstructured nature in terms of the semantics they convey .', u'One of the primary objectives of semantic web is to enable software agents infer facts and knowledge out of different websites .', u'The primary aim of this project is to develop an application to manipulate OWL files , browse ontologies and enable software agents infer information semantically .', u'Needless to say such inference is not feasible in current conventional applications .', u'We have considered the Conference Ontology , extracted from the Ontology Repository of the University of Manchester as our sample ontology .', u'From architectural point of view , we used a three-layer architecture .', u'Due to the similarity of current web applications with the architecture we used , we were able to have an actual comparison made between the two approaches .']"
