,s,p,o,source,support
105,absorptive capacity,relate,collaborative capability,heuristic,1
106,collaborative capability,relate,absorptive capacity,heuristic,1
107,knowledge-sharing,relate,information processing,heuristic,1
108,information processing,relate,knowledge-sharing,heuristic,1
109,social semantic web,meet,technosocial predictive analytic,heuristic,1
110,learning,read,technosocial predictive analytic,heuristic,4
111,intelligent narrative technologies ii,read,social semantic web,heuristic,1
112,intelligent narrative technologies ii,relate,intelligent event processing,heuristic,1
113,intelligent event processing,relate,intelligent narrative technologies ii,heuristic,1
114,intelligent narrative technologies ii,relate,learning,heuristic,1
115,learning,relate,intelligent narrative technologies ii,heuristic,1
116,human behavior modeling,read,social semantic web,heuristic,1
117,intelligent event processing,read,social semantic web,heuristic,1
118,learning,read,social semantic web,heuristic,2
119,human behavior modeling,relate,intelligent event processing,heuristic,1
120,intelligent event processing,relate,human behavior modeling,heuristic,1
121,human behavior modeling,relate,real world system,heuristic,1
122,real world system,relate,human behavior modeling,heuristic,1
123,problem repository,grade,midterm and long term research,heuristic,2
124,qualitative spatial and temporal reasoning,grade,midterm and long term research,heuristic,2
125,reasoning method,understand,intelligent system,heuristic,2
126,event processing,coin,intelligent complex event processing,heuristic,2
127,ai based approach,coin,event processing,heuristic,2
128,ai based approach,coin,intelligent complex event processing,heuristic,2
129,uniprot,focus,odb3 database of prokaryotic operon,heuristic,1
130,government funded institution,focus,odb3 database of prokaryotic operon,heuristic,1
131,p2p technology,revolutionize,digital contents,heuristic,1
132,digital contents,face,rigid legal framework,heuristic,1
133,modification,accept,public policy,heuristic,2
134,internet governance forum,feel,wsis mandate,heuristic,2
135,http,feel,wsis mandate,heuristic,2
136,security frameworks,prevent,unwanted inference,heuristic,2
137,undesired inference,correlate,public domain information,heuristic,3
138,xml query answer,correlate,public domain information,heuristic,2
139,undesired inference,violate,data confidentiality requirement,heuristic,2
140,data confidentiality requirement,disclose,unauthorized xml document structure,heuristic,1
141,xml query answer,violate,data confidentiality requirement,heuristic,1
142,undesired inference,violate,unauthorized xml document structure,heuristic,2
143,xml query answer,violate,unauthorized xml document structure,heuristic,2
144,data confidentiality requirement,correlate,public data,heuristic,1
145,public domain information,violate,data confidentiality requirement,heuristic,1
146,undesired inference,violate,public data,heuristic,2
147,public domain information,violate,public data,heuristic,2
148,xml document,remove,undesired inference,heuristic,1
149,global data privacy control,place,public information,heuristic,1
150,global data privacy control,place,xml document,heuristic,1
151,security classification,replicate,replicated data correlation,heuristic,1
152,prolog knowledge base,associate,ontologies,heuristic,2
153,conceptualization,violate,privacy of protected data,heuristic,2
154,external knowledge modeling,violate,privacy of protected data,heuristic,2
155,semantic web technologies,violate,privacy of protected data,heuristic,3
156,ontologies,violate,privacy of protected data,heuristic,3
157,web service,relate,semantic web technologies,heuristic,19
158,uddi,relate,wsdl,heuristic,1
159,wsdl,relate,uddi,heuristic,1
160,qo,relate,ontologies,heuristic,1
161,qos parameter,relate,service profile,heuristic,1
162,service profile,relate,qos parameter,heuristic,1
163,across platform,relate,acros s language,heuristic,1
164,acros s language,relate,across platform,heuristic,1
165,intelligence,relate,automation,heuristic,2
166,automation,relate,intelligence,heuristic,2
167,semantic relationships,relate,ontologies,heuristic,9
168,ontologies,relate,semantic relationships,heuristic,7
169,semantic web technologies,lie,semanteme of information,heuristic,3
170,ontologies,relate,semantic web technologies,heuristic,116
171,owl language,relate,ontologies,heuristic,1
172,ontologies,relate,owl language,heuristic,1
173,web,interpret,software agents,heuristic,2
174,search engines,br,multi agent technology,heuristic,2
175,text classification algorithm,annotate,web document,heuristic,4
176,file-sharing,relate,social search engine,heuristic,1
177,social search engine,relate,file-sharing,heuristic,1
178,file-sharing,relate,tagging,heuristic,1
179,tagging,relate,file-sharing,heuristic,1
180,folksonomie,relate,social search engine,heuristic,1
181,social search engine,relate,folksonomie,heuristic,1
182,folksonomie,relate,social bookmarking,heuristic,1
183,social bookmarking,relate,folksonomie,heuristic,1
184,collaborative filtering algorithms,relate,social networking service,heuristic,1
185,social networking service,relate,collaborative filtering algorithms,heuristic,1
186,collaborative filtering algorithms,relate,social bookmarking,heuristic,1
187,social bookmarking,relate,collaborative filtering algorithms,heuristic,1
188,instant messaging,relate,mashup,heuristic,1
189,mashup,relate,instant messaging,heuristic,1
190,mashup,relate,tagging,heuristic,1
191,tagging,relate,mashup,heuristic,1
192,blogs,relate,wiki,heuristic,3
193,wiki,relate,blogs,heuristic,3
194,blogs,relate,podcast,heuristic,1
195,podcast,relate,blogs,heuristic,1
196,online information,relate,knowledge repository,heuristic,1
197,knowledge repository,relate,online information,heuristic,1
198,aggregative content management,feed,health care context,heuristic,1
199,aggregative content management,feed,podcasting,heuristic,1
200,social tagging,emerge,aggregative content management,heuristic,1
201,aggregative content management,relate,collaborative writing,heuristic,1
202,collaborative writing,relate,aggregative content management,heuristic,1
203,wiki,emerge,aggregative content management,heuristic,1
204,blogs,emerge,aggregative content management,heuristic,1
205,collaborative writing,feed,health care context,heuristic,1
206,social technology,feed,health care context,heuristic,1
207,social software,emerge,collaborative writing,heuristic,1
208,social software,emerge,social technology,heuristic,1
209,collaborative writing,feed,podcasting,heuristic,1
210,social technology,feed,podcasting,heuristic,1
211,social tagging,emerge,collaborative writing,heuristic,1
212,social tagging,emerge,social technology,heuristic,1
213,social tagging,relate,blogs,heuristic,1
214,blogs,relate,social tagging,heuristic,1
215,wiki,emerge,collaborative writing,heuristic,1
216,blogs,emerge,collaborative writing,heuristic,1
217,wiki,emerge,social technology,heuristic,1
218,blogs,emerge,social technology,heuristic,1
219,strategy,deal,digital ocean,heuristic,2
220,rule,deal,digital ocean,heuristic,2
221,semantic web technologies,initiate,strategy,heuristic,1
222,semantic web technologies,relate,grid,heuristic,3
223,grid,relate,semantic web technologies,heuristic,1
224,grid,initiate,strategy,heuristic,1
225,virtual reality,relate,grid,heuristic,1
226,grid,relate,virtual reality,heuristic,1
227,grid,initiate,rule,heuristic,1
228,marine information,exist,low level application,heuristic,1
229,soa based multi layer prototype system,take,multi source marine environmental data exchanging,heuristic,2
230,knowledge management,relate,electronic commerce,heuristic,1
231,electronic commerce,relate,knowledge management,heuristic,1
232,communication,become,education,heuristic,5
233,global privacy governance,seem,information society,heuristic,2
234,yeasthub,relate,linkhub,heuristic,1
235,linkhub,relate,yeasthub,heuristic,4
236,biological data integration system,call,yeasthub,heuristic,1
237,rdf database,fit,biological data integration system,heuristic,3
238,biological data integration system,call,linkhub,heuristic,1
239,linkhub,focus,biological data,heuristic,1
240,gene,relate,protein,heuristic,2
241,protein,relate,gene,heuristic,2
242,web interactive and query interface,complement,yeasthub,heuristic,1
243,joined yeasthub and linkhub data,demonstrate,lightweight method,heuristic,1
244,joined yeasthub and linkhub data,demonstrate,integrated biological data analysi,heuristic,1
245,information retrieval,relate,biological identifier,heuristic,1
246,web or biomedical scientific literature document,relate,biological identifier,heuristic,1
247,linkhub rdf relational data,attach,classifiers,heuristic,2
248,linkhub rdf relational data,attach,information retrieval,heuristic,4
249,linkhub rdf relational data,relate,attached document,heuristic,1
250,attached document,relate,linkhub rdf relational data,heuristic,1
251,semantic search engines,rank,bookshelf data structure,heuristic,2
252,web graphs,overlay,pattern tier,heuristic,1
253,web structure,overlay,pattern tier,heuristic,1
254,ranking algorithm,name,visual ranking,heuristic,1
255,linked data federation,become,heterogeneity problem,heuristic,1
256,semantic cubing platform,relate,linked data cube,heuristic,1
257,linked data cube,relate,semantic cubing platform,heuristic,1
258,data structure,call,tp automaton,heuristic,1
259,data structure,call,high performance linked data stream dissemination,heuristic,2
260,tp automaton,suit,high performance linked data stream dissemination,heuristic,1
261,cloud services,try,libraries,heuristic,2
262,linked data,release,comma separated values ( csv ) format,heuristic,2
263,design,exist,governmental dataset,heuristic,3
264,distributed query processing,suffer,delayed response time,heuristic,2
265,distributed query processing,suffer,indexing based approach,heuristic,3
266,delayed response time,relate,indexing based approach,heuristic,1
267,indexing based approach,relate,delayed response time,heuristic,1
268,fixed time constraint,access,web of linked data,heuristic,1
269,fixed time constraint,access,sparql endpoint,heuristic,1
270,answering sparql query,access,web of linked data,heuristic,2
271,answering sparql query,access,sparql endpoint,heuristic,2
272,linked data design issue,relate,engineering education,heuristic,10
273,open educational resource,relate,engineering education,heuristic,2
274,linked data design issue,relate,open educational resource,heuristic,6
275,open educational resource,relate,ocw higher institution,heuristic,4
276,ocw resource metadata,relate,linkedopendata cloud,heuristic,6
277,linkedopendata cloud,consume,ocw resource metadata,heuristic,2
278,linkedopendata cloud,consume,engineering open course,heuristic,2
279,engineering open course,host,linkedopendata cloud,heuristic,4
280,dataset,host,linkedopendata cloud,heuristic,2
281,ocw resource metadata,relate,engineering open course,heuristic,2
282,ocw resource metadata,relate,dataset,heuristic,4
283,dataset,consume,ocw resource metadata,heuristic,2
284,dataset,consume,engineering open course,heuristic,2
285,messy linked data,call,incloud,heuristic,4
286,search target,call,incloud,heuristic,2
287,exploratory olap,couple,linked data,heuristic,1
288,recurring modeling pattern,expres,rdf concept,heuristic,1
289,recurring modeling pattern,expres,roll up relationship,heuristic,1
290,mediation architecture,consume,statistical data,heuristic,2
291,statistical data,expose,rdf triple,heuristic,1
292,mediation architecture,expose,relational database systems,heuristic,4
293,mediation architecture,expose,rdf triple,heuristic,3
294,linked data cube description,accord,linked data principle,heuristic,1
295,data cubes,know,mediation environment,heuristic,2
296,statistical ( relational ) database,know,mediation environment,heuristic,1
297,mediator,browse,data cubes,heuristic,3
298,hardware architecture,optimize,memory layout of complex pointer linked data structure,heuristic,2
299,computer language,optimize,memory layout of complex pointer linked data structure,heuristic,2
300,mechanism,optimize,memory layout of complex pointer linked data structure,heuristic,3
301,theory,optimize,memory layout of complex pointer linked data structure,heuristic,2
302,hardware architecture,relate,computer language,heuristic,1
303,computer language,relate,hardware architecture,heuristic,1
304,computer language,relate,theory,heuristic,1
305,theory,relate,computer language,heuristic,1
306,re usability,relate,flexibility,heuristic,1
307,flexibility,relate,re usability,heuristic,1
308,re usability,relate,expansion,heuristic,1
309,expansion,relate,re usability,heuristic,1
310,top level ontology,exist,welldefined relation,heuristic,3
311,classification,grasp,self sufficient odp,heuristic,2
312,linked data,relate,pagerank,heuristic,1
313,pagerank,relate,linked data,heuristic,1
314,entity navigation,follow,linked data,heuristic,2
315,linked data,follow,semantic link,heuristic,1
316,linked data,follow,linked data browser,heuristic,2
317,entity navigation,follow,linked data browser,heuristic,2
318,linked data,traverse,link graph,heuristic,2
319,navigation paradigm,orient,entity set oriented transition,heuristic,2
320,navigation paradigm,take,single entity oriented transition,heuristic,1
321,prototype system,compare,user study,heuristic,1
322,prototype system,compare,linked data browser,heuristic,1
323,guideline,aim,mapxplore,heuristic,2
324,linked data approach,cop,information management,heuristic,1
325,linked data approach,cop,asset management,heuristic,1
326,linked data approach,originate,world wide web consortium,heuristic,1
327,geospatial information system,relate,bim,heuristic,1
328,bim,relate,geospatial information system,heuristic,1
329,proof of concept system,demonstrate,linked data,heuristic,1
330,analysi,correlate,collection set,heuristic,2
331,music information retrieval ( mir ) workflow,curat,analysi,heuristic,1
332,music signal data,correlate,collection set,heuristic,2
333,music information retrieval ( mir ) workflow,curat,music signal data,heuristic,1
334,collection set,relate,linked data source,heuristic,1
335,linked data source,relate,collection set,heuristic,1
336,signal repository,relate,collection builder,heuristic,1
337,collection builder,relate,signal repository,heuristic,1
338,spatial information,reflect,giscience,heuristic,3
339,query mechanism,relate,interoperability,heuristic,1
340,interoperability,relate,query mechanism,heuristic,1
341,fusion,close,application model,heuristic,1
342,recommender systems,structure,structured data,heuristic,1
343,application domain,relate,limitation,heuristic,1
344,limitation,relate,application domain,heuristic,1
345,linked data dataset,asses,computational complexity,heuristic,2
346,computational complexity,relate,accuracy scalability,heuristic,1
347,accuracy scalability,relate,computational complexity,heuristic,1
348,linked data dataset,asses,accuracy scalability,heuristic,2
349,similarity measure,take,linked data dataset,heuristic,1
350,cost model,compare,query optimization,heuristic,2
351,symmetric index hash join,addres,linked data query processing,heuristic,1
352,approximate index structure,summarise,conjunctive query,heuristic,5
353,approximate index structure,adhere,linked data principle,heuristic,3
354,tooalbeit dynamic onesand,imply,hypermedia,heuristic,1
355,linked data principle,imply,hypermedia,heuristic,1
356,hypermedia,envision,automatic service discovery,heuristic,3
357,database technique,optimize,query processing method,heuristic,1
358,database technique,optimize,centralized setting,heuristic,1
359,linked data,optimize,query processing method,heuristic,1
360,linked data,optimize,centralized setting,heuristic,1
361,apresentamos os principio,subjacent,iniciativa linked data,heuristic,1
362,update,remove,local data dependency,heuristic,5
363,knowledge,relate,learning analytic,heuristic,1
364,linked open data,reach,web of data,heuristic,2
365,linked data,open,dbpedia,heuristic,2
366,bbc program,relate,dbpedia,heuristic,1
367,dbpedia,relate,bbc program,heuristic,1
368,rdf graph,relate,rdfa annotation,heuristic,1
369,rdfa annotation,relate,rdf graph,heuristic,1
370,linked data,compare,open calai,heuristic,2
371,music biography,compare,open calai,heuristic,2
372,linked data,report,archival linked data,heuristic,1
373,archival information discovery,relate,archival description,heuristic,1
374,information discovery,relate,archival description,heuristic,1
375,archival description,relate,information discovery,heuristic,1
376,linked data implementation,demonstrate,information discovery,heuristic,3
377,linked data implementation,demonstrate,archival description,heuristic,3
378,web data,do,data processing,heuristic,1
379,local schema,do,data processing,heuristic,1
380,linked data application,ne,mapping,heuristic,2
381,vocabulary maintainer,relate,data publisher,heuristic,1
382,data publisher,relate,vocabulary maintainer,heuristic,1
383,web,chain,partial mapping,heuristic,1
384,web,chain,mapping quality assessment heuristic,heuristic,2
385,ad hoc re use,structure,web by consumer application,heuristic,1
386,rdf feature,correlate,vocabulary re use,heuristic,2
387,linked data,relate,media fragment,heuristic,2
388,linked data approach,realise,web,heuristic,1
389,media fragment,relate,linked data,heuristic,1
390,linked open data cloud,visualise,web contents,heuristic,1
391,linked data principle,br,semantic,heuristic,1
392,media fragment,br,semantic,heuristic,1
393,linked data principle,br,multimedia indexing,heuristic,2
394,linked data principle,br,fine grained level,heuristic,2
395,linked data principle,br,media fragment,heuristic,1
396,ontologies,become,life science,heuristic,3
397,motivation,become,life science,heuristic,1
398,ontologies,range,sound modelling,heuristic,1
399,logic,range,sound modelling,heuristic,1
400,obo format,relate,resource description framework (rdf),heuristic,1
401,resource description framework (rdf),relate,obo format,heuristic,1
402,sparul code,curat,obo format,heuristic,1
403,sparul code,curat,resource description framework (rdf),heuristic,1
404,workflow technology,emerge,web,heuristic,1
405,workflow technology,emerge,data exchange,heuristic,1
406,data exchange,relate,metadata representation standard,heuristic,1
407,metadata representation standard,relate,data exchange,heuristic,1
408,workflow technology,emerge,metadata representation standard,heuristic,1
409,electronic commerce process,result,agent,heuristic,3
410,workflow template,result,agent,heuristic,3
411,workflow technology,log,workflow history manager,heuristic,2
412,forward recovery,log,workflow history manager,heuristic,1
413,selling agent,access,extensible markup language (xml),heuristic,1
414,document object model,access,extensible markup language (xml),heuristic,1
415,extensible markup language (xml),sell,document object model,heuristic,2
416,selling agent,access,resource discovery agent,heuristic,1
417,document object model,access,resource discovery agent,heuristic,1
418,resource discovery agent,sell,document object model,heuristic,2
419,document type definition,eliminate,ontologies,heuristic,2
420,bioinformatic,relate,social network analysi,heuristic,1
421,social network analysi,relate,bioinformatic,heuristic,1
422,discriminative subgraph feature,associate,subgraph isomorphism probability,heuristic,1
423,probabilistic graph,maximize,pruning capability,heuristic,1
424,pg model,exist,agreed upon formal definition,heuristic,1
425,pg based system,load,rdf data,heuristic,2
426,summarization,look,average obtained feature,heuristic,1
427,todays system,work,summarization,heuristic,1
428,todays system,look,average obtained feature,heuristic,2
429,resource description framework (rdf),structure,unstructured review,heuristic,1
430,word sense disambiguation,relate,sentiwordnet score,heuristic,1
431,sentiwordnet score,relate,word sense disambiguation,heuristic,1
432,route safety,relate,amenity and walk ability,heuristic,1
433,amenity and walk ability,relate,route safety,heuristic,1
434,symf se,subtitle,subtitled youtube video,heuristic,3
435,media fragment,annotate,lod cloud,heuristic,2
436,nlp web based tool,annotate,lod cloud,heuristic,3
437,nlp web based tool,associate,media fragment,heuristic,2
438,unifier module of outcome,name,web api,heuristic,2
439,web api,boost,named entity recognition,heuristic,2
440,web api,boost,um ownlp,heuristic,3
441,api,work,sparql,heuristic,2
442,dotnetrdf,work,sparql,heuristic,2
443,authoring editor,call,h dcedit,heuristic,1
444,sgml,relate,rdf model,heuristic,1
445,rdf model,relate,sgml,heuristic,1
446,sorting,relate,comparison,heuristic,1
447,comparison,relate,sorting,heuristic,1
448,rdf storage and query system,call,enterprise resource management,heuristic,1
449,resource description framework (rdf),relate,sparql,heuristic,10
450,rdf data,continue,heterogeneous domain,heuristic,1
451,watdiv,exist,system,heuristic,3
452,interaction model,navigate,web data,heuristic,3
453,visinav,navigate,web data,heuristic,4
454,interaction model,navigate,rdf triple,heuristic,4
455,object focu,relate,path traversal,heuristic,1
456,path traversal,relate,object focu,heuristic,1
457,object focu,relate,keyword search,heuristic,1
458,keyword search,relate,object focu,heuristic,1
459,information systems,simulate,disaster preparedness and mitigation activity,heuristic,1
460,linked open data ( lod ) technology,br,distributed data source,heuristic,1
461,lod,interconnect,lod cloud,heuristic,1
462,interconnected rdf data,call,sahana asia,heuristic,2
463,disaster mitigation and preparedness activity,benefit,emergency management team,heuristic,1
464,sahana asia,simulate,disaster mitigation and preparedness activity,heuristic,1
465,sahana asia,simulate,emergency management team,heuristic,2
466,shared understanding,author,semantic,heuristic,1
467,generic query and reasoning algorithm,wire,processing building information,heuristic,3
468,knowledge discovery,relate,information retrieval,heuristic,2
469,information retrieval,relate,knowledge discovery,heuristic,2
470,ontologies,function,online geological map,heuristic,1
471,animation,operate,map legend,heuristic,3
472,geological time feature,operate,map legend,heuristic,1
473,geological time feature,operate,animation,heuristic,2
474,animation and interactive function,relate,ontologies,heuristic,1
475,ontologies,relate,animation and interactive function,heuristic,1
476,online geological map service,understand,geological time content,heuristic,3
477,taxonomia,relate,listas de encabezamientos de materia,heuristic,2
478,listas de encabezamientos de materia,relate,taxonomia,heuristic,2
479,esquemas de clasificacion,relate,listas de encabezamientos de materia,heuristic,2
480,listas de encabezamientos de materia,relate,esquemas de clasificacion,heuristic,2
481,query result,exist,network,heuristic,1
482,multi attribute addressable network,know,hash functions,heuristic,1
483,scalable distributed rdf repository,know,hash functions,heuristic,2
484,node,know,exact match and range query,heuristic,5
485,rdfpeer,differ,real world rdf data,heuristic,2
486,triple storing load,differ,real world rdf data,heuristic,2
487,maritime safety and security ( mss ) system,monitor,vessel traffic in coastal area,heuristic,1
488,method,monitor,vessel traffic in coastal area,heuristic,1
489,on demand external knowledge,relate,time dependent sensor data,heuristic,1
490,time dependent sensor data,relate,on demand external knowledge,heuristic,1
491,enriched trajectory data,annotate,reasoning algorithms,heuristic,3
492,knowledge bases,annotate,visual analytics tool,heuristic,3
493,representation,test,guideline,heuristic,3
494,topic extraction technique,relate,text classification,heuristic,1
495,text classification,relate,topic extraction technique,heuristic,1
496,topic extraction,relate,text classification,heuristic,2
497,text classification,relate,topic extraction,heuristic,1
498,linguistic data structure,surface,normalized form,heuristic,1
499,linguistic data structure,surface,annotated credibility,heuristic,2
500,xnat,capture,imaging and phenotypic data,heuristic,2
501,xnat,broadcast,data extension,heuristic,2
502,xnat,broadcast,xnat installation,heuristic,2
503,value type,float,field list,heuristic,1
504,javascript object notation,relate,resource description framework (rdf),heuristic,1
505,resource description framework (rdf),relate,javascript object notation,heuristic,1
506,dcap sse,know,rdf ) vocabulary,heuristic,2
507,dcap sse,know,metadata schema,heuristic,2
508,dcap sse,know,ontologies,heuristic,2
509,rdf ) vocabulary,take,linked open data ecosystem,heuristic,2
510,ontologies,take,linked open data ecosystem,heuristic,2
511,essglobal rdf vocabulary,respond,sse specific need,heuristic,2
512,method,relate,framework,heuristic,1
513,framework,relate,method,heuristic,1
514,expertise retrieval,demonstrate,semantic representation approach,heuristic,1
515,topic centric approach,outperform,language modelling approach,heuristic,1
516,rdf data,transfer,dsrc,heuristic,2
517,semantic module,associate,semantic background,heuristic,2
518,detected point information semantic module,sense,semantic module,heuristic,1
519,detected point information semantic module,associate,semantic background,heuristic,3
520,sensed data semantic module,associate,semantic background,heuristic,2
521,detected point information,sense,uri,heuristic,2
522,sensed data semantic module,carry,semantic data,heuristic,1
523,sensed data semantic module,carry,semantic relationships,heuristic,1
524,semantic data,submit,server interface module,heuristic,1
525,semantic data,submit,monitoring center server,heuristic,1
526,storage space,exceed,semantic data,heuristic,3
527,patent record,relate,research paper,heuristic,1
528,research paper,relate,patent record,heuristic,1
529,android sip client application,act,device browser,heuristic,1
530,android sip client application,act,multimedia service,heuristic,1
531,informal learning process,understand,scientific work process,heuristic,1
532,social interaction,understand,scientific work process,heuristic,1
533,model,relate,method,heuristic,2
534,method,relate,model,heuristic,2
535,social semantic desktop,exemplify,application domain rapid prototyping,heuristic,1
536,social semantic desktop,exemplify,scenario,heuristic,1
537,ontological sensor modelling,attach,metadata,heuristic,1
538,data repurposing,relate,high level content recognition,heuristic,1
539,high level content recognition,relate,data repurposing,heuristic,1
540,ontological sensor modelling,attach,data repurposing,heuristic,2
541,ontological sensor modelling,attach,sensor readings,heuristic,1
542,ontological sensor modelling,attach,high level content recognition,heuristic,3
543,autonomous directed qualification of analytic based relationship,pair,relevancy ontology,heuristic,1
544,autonomous directed qualification of analytic based relationship,pair,analytics terminology,heuristic,2
545,autonomous directed qualification of analytic based relationship,pair,w3c recommendation,heuristic,1
546,autonomous directed qualification of analytic based relationship,pair,prov o ontology,heuristic,1
547,applied analytic,associate,named graph,heuristic,1
548,concept,name,applied analytic,heuristic,1
549,applied analytic,associate,concept,heuristic,1
550,semantically referenced document,name,applied analytic,heuristic,1
551,applied analytic,associate,semantically referenced document,heuristic,1
552,concept,relate,semantically referenced document,heuristic,1
553,semantically referenced document,relate,concept,heuristic,1
554,domain independent platform,take,semantic web technologies,heuristic,1
555,smart city application,relate,sensor data stream,heuristic,1
556,sensor data stream,relate,smart city application,heuristic,1
557,iot stream,express,semantic iot stream description,heuristic,2
558,social webs,grow,recommender systems,heuristic,1
559,system,aim,information item,heuristic,2
560,semantic web technologies,deal,data,heuristic,3
561,semantic web technologies,deal,knowledge level,heuristic,3
562,cinematographic domain,compare,state of the art solution,heuristic,1
563,smart application,acces,physical world,heuristic,1
564,smart application,acces,machine interpretable format,heuristic,1
565,advertising information,relate,user vicinity,heuristic,1
566,advertising information,relate,physical object,heuristic,1
567,bluetooth low energy beacon,broadcast,identifiers of the physical object,heuristic,1
568,dbpedia,miss,wikipedia,heuristic,4
569,metadata retrieval task,e,multimedia search engine,heuristic,1
570,address   ing metadata variety,deal,volume dimension,heuristic,2
