;s;p;o;source;support;abstracts
10;ontology based immersive poetry learning system;produces;music;heuristic;2;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
11;ontology based immersive poetry learning system;produces;ontology alignment;heuristic;2;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
12;learning context ontology;produces;immersive poetry learning;openie;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
13;scenic spot;is;multimedia property;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
14;scenic spot;is;vision;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
15;scenic spot;conjunction;reading with occasional poetry;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
16;reading with occasional poetry;is;multimedia property;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
17;reading with occasional poetry;is;vision;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
18;reading with occasional poetry;conjunction;emotional reinforcement;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
19;reading with occasional poetry;conjunction;background music;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
20;emotional reinforcement;is;multimedia property;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
21;background music;is;multimedia property;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
22;background music;is;vision;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
23;background music;is;emotional reinforcement;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
24;learning context ontology;conjunction;poetry noun ontology;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
25;learning context ontology;conjunction;music emotion ontology;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
26;poetry noun ontology;conjunction;music emotion ontology;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
27;immersive poetry learning;uses;music emotion ontology;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
28;context information poetry content;uses;music emotion ontology;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
29;music emotional property;uses;music emotion ontology;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
30;context information poetry content;conjunction;music emotional property;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
31;coherent poetry;uses;ontology based immersive poetry learning system;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
32;ontology based immersive poetry learning system;uses;learner context;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
33;coherent poetry;conjunction;music;luanyi;1;['chinese has a rise in popularity due to the spring up of the chinese language education . in the poetry of the tang dynasty , there is a lot of information in the limited number of chinese characters . therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue . in this paper , to support the poetry appreciation learning , our idea is to provide the immersive poetry learning with multimedia properties : the vision such as scenic spot , the reading with occasional poetry , and the emotional reinforcement such as background music . to construct the immersive poetry learning with multimedia environment , the learning context ontology , the poetry noun ontology and the music emotion ontology are defined to annotate the context information poetry contents and music emotional properties . thus , the ontology-based immersive poetry learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']
